request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_56,527.36,affordable_with_plan,partial_payment,2025-02-03:527.36|2025-02-15:354.20,2025-02-15,none,"Pay USD 527.36 today and the remaining USD 354.20 on 15 February 2025. This completes the full request and keeps the USD 2,100 minimum protected."
request_57,10097.2,affordable_later,wait,2026-06-15:61446,2026-06-15,none,"Pay ZAR 61,446 in full on 15 June 2026. Paying earlier would take the balance below the ZAR 42,700 minimum."
request_58,16226000,affordable_now,full_payment,2024-12-07:16226000,2024-12-07,none,"Pay IDR 16,226,000 today. This leaves at least IDR 14,433,900 available over the next 90 days."
request_59,140600,affordable_with_plan,installments,2025-05-07:48741.33|2025-06-04:48741.33|2025-07-02:48741.33,2025-05-04,none,"Use 3 installments of INR 48,741.33, starting 7 May 2025. This leaves at least INR 132,600 available."
request_60,116.69,affordable_later,wait,2026-02-15:199.89,2026-02-15,none,Pay USD 199.89 in full on 15 February 2026. Paying earlier would take the balance below the USD 400 minimum.
request_61,29062,affordable_with_plan,installments,2024-03-17:10074.83|2024-04-17:10074.83|2024-05-18:10074.83,2024-03-03,none,"Use 3 installments of ZAR 10,074.83, starting 17 March 2024. This leaves at least ZAR 36,700 available."
request_62,404.23,affordable_now,full_payment,2025-08-05:404.23,2025-08-05,none,"Pay USD 404.23 today. This leaves at least USD 1,300 available over the next 90 days."
request_63,41490,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 343,900 request. Although INR 41,490 is available today, the full amount cannot be completed safely within 90 days."
request_64,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 16 August 2024. None of the available options keeps the INR 36,100 minimum protected."
request_65,4982,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 54,340 request. Although ZAR 4,982 is available today, the full amount cannot be completed safely within 90 days."
request_66,22200,affordable_now,full_payment,2026-04-03:22200,2026-04-03,none,"Pay INR 22,200 today. This leaves at least INR 80,700 available over the next 90 days."
request_67,412.54,affordable_later,wait,2024-11-15:2094,2024-11-15,none,"Pay USD 2,094 in full on 15 November 2024. Paying earlier would take the balance below the USD 1,200 minimum."
request_68,1332.83,affordable_with_plan,installments,2025-02-14:725.09|2025-03-14:725.09|2025-04-11:725.09,2025-03-23,stop:event_6330,"Stop the online backup subscription, then use 3 installments of USD 725.09, starting 14 February 2025. This keeps the USD 1,500 minimum protected."
request_69,529.1,affordable_now,full_payment,2026-01-04:529.10,2026-01-04,none,Pay EUR 529.10 today. This leaves at least EUR 700 available over the next 90 days.
request_70,40160,affordable_later,wait,2025-02-15:243900,2025-02-15,none,"Pay INR 243,900 in full on 15 February 2025. Paying earlier would take the balance below the INR 115,000 minimum."
request_71,514400,not_affordable,not_recommended,none,,none,"Do not make this payment by 28 May 2025. None of the available options keeps the IDR 8,884,800 minimum protected."
request_72,11330,affordable_now,full_payment,2026-07-05:11330,2026-07-05,none,"Pay ZAR 11,330 today. This leaves at least ZAR 12,200 available over the next 90 days."
request_73,71400,affordable_now,full_payment,2023-01-20:71400,2023-01-20,none,"Pay INR 71,400 today. This leaves at least INR 103,200 available over the next 90 days."
request_74,5010,affordable_now,full_payment,2025-08-04:5010,2025-08-04,none,"Pay ZAR 5,010 today. This leaves at least ZAR 21,900 available over the next 90 days."
request_75,28270,affordable_with_plan,installments,2026-04-09:9800.27|2026-05-09:9800.27|2026-06-08:9800.27,2026-04-06,none,"Use 3 installments of ZAR 9,800.27, starting 9 April 2026. This leaves at least ZAR 39,000 available."
request_76,303.6,not_affordable,not_recommended,none,,none,"Do not make this payment by 30 July 2024. None of the available options keeps the USD 1,800 minimum protected."
request_77,60095.5,affordable_with_plan,full_payment,2025-11-05:60700,2025-11-15,stop:event_7143,"Stop the online backup subscription, then pay INR 60,700 today. This leaves at least INR 82,200 available."
request_78,48681,affordable_with_plan,full_payment,2025-10-02:50200,2025-10-15,reduce_to:event_7224:805|reduce_to:event_7225:1480,"Reduce the video streaming plan to INR 805 and reduce the monthly shopping spend to INR 1,480, then pay INR 50,200 today. This leaves at least INR 55,200 available."
request_79,341.98,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 2,151.60 request. Although EUR 341.98 is available today, the full amount cannot be completed safely within 90 days."
request_80,19170,not_affordable,not_recommended,none,,none,"Do not make this payment by 21 February 2025. None of the available options keeps the INR 121,300 minimum protected."
request_81,2076,affordable_now,full_payment,2026-07-03:2076,2026-07-03,none,"Pay USD 2,076 today. This leaves at least USD 1,600 available over the next 90 days."
request_82,356.4,affordable_later,wait,2025-02-15:1405.20,2025-02-15,none,"Pay USD 1,405.20 in full on 15 February 2025. Paying earlier would take the balance below the USD 1,100 minimum."
request_83,3080,not_affordable,not_recommended,none,,none,"Do not make this payment by 17 June 2025. None of the available options keeps the INR 37,800 minimum protected."
request_84,21790,affordable_later,wait,2026-06-15:95400,2026-06-15,none,"Pay INR 95,400 in full on 15 June 2026. Paying earlier would take the balance below the INR 91,300 minimum."
request_85,416120,not_affordable,not_recommended,none,,none,"Do not make this payment by 26 April 2024. None of the available options keeps the IDR 6,396,300 minimum protected."
request_86,46300,affordable_now,full_payment,2025-08-03:46300,2025-08-03,none,"Pay INR 46,300 today. This leaves at least INR 84,900 available over the next 90 days."
request_87,21390,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 March 2026. None of the available options keeps the INR 185,900 minimum protected."
request_88,8486.99,affordable_with_plan,installments,2024-06-14:9045.23|2024-07-15:9045.23|2024-08-15:9045.23,2024-07-15,stop:event_8268|reduce_to:event_8301:655.60,"Stop the music service subscription and reduce the lunch with colleagues to ZAR 655.60, then use 3 installments of ZAR 9,045.23, starting 14 June 2024. This keeps the ZAR 25,800 minimum protected."
request_89,9434562.01,affordable_with_plan,installments,2025-11-18:4768746.67|2025-12-16:4768746.67|2026-01-13:4768746.67,2026-01-15,stop:event_8336|stop:event_8335|reduce_to:event_8403:203300,"Stop the online backup subscription, stop the video streaming plan and reduce the family dinner to IDR 203,300, then use 3 installments of IDR 4,768,746.67, starting 18 November 2025. This keeps the IDR 12,534,700 minimum protected."
request_90,2560,affordable_now,full_payment,2026-07-06:2560,2026-07-06,none,"Pay ZAR 2,560 today. This leaves at least ZAR 7,600 available over the next 90 days."
request_91,480.4,affordable_later,wait,2024-11-15:1927.20,2024-11-15,none,"Pay EUR 1,927.20 in full on 15 November 2024. Paying earlier would take the balance below the EUR 2,100 minimum."
request_92,33829.17,affordable_with_plan,full_payment,2025-02-05:34034,2025-02-15,stop:event_8621|reduce_to:event_8620:558.80,"Stop the shared storage plan and reduce the local event tickets to ZAR 558.80, then pay ZAR 34,034 today. This leaves at least ZAR 28,100 available."
request_93,1672.1,affordable_with_plan,full_payment,2026-04-07:1729.20,2026-04-15,stop:event_8690|stop:event_8691,"Stop the online backup subscription and stop the video streaming plan, then pay USD 1,729.20 today. This leaves at least USD 1,900 available."
request_94,572,affordable_now,full_payment,2024-12-04:572,2024-12-04,none,Pay EUR 572 today. This leaves at least EUR 600 available over the next 90 days.
request_95,13510,not_affordable,not_recommended,none,,none,"Do not make this payment by 14 July 2025. None of the available options keeps the INR 145,500 minimum protected."
request_96,72795.49,affordable_with_plan,installments,2026-01-10:31269.33|2026-02-09:31269.33|2026-03-11:31269.33,2026-02-15,stop:event_8914,"Stop the food delivery membership, then use 3 installments of INR 31,269.33, starting 10 January 2026. This keeps the INR 56,500 minimum protected."
request_97,0,affordable_with_plan,installments,2024-03-19:8145.28|2024-04-19:8145.28|2024-05-20:8145.28,2024-04-15,stop:event_9006|reduce_to:event_9038:577.50,"Stop the audio streaming plan and reduce the neighbourhood restaurant to ZAR 577.50, then use 3 installments of ZAR 8,145.28, starting 19 March 2024. This keeps the ZAR 29,700 minimum protected."
request_98,7406.4,affordable_later,wait,2025-10-15:27148,2025-10-15,none,"Pay ZAR 27,148 in full on 15 October 2025. Paying earlier would take the balance below the ZAR 30,000 minimum."
request_99,17453.58,affordable_with_plan,full_payment,2026-07-04:18062,2026-07-15,reduce_to:event_9188:525.80|reduce_to:event_9232:1065.90,"Reduce the family streaming plan to ZAR 525.80 and reduce the family dinner to ZAR 1,065.90, then pay ZAR 18,062 today. This leaves at least ZAR 49,100 available."
request_100,25160.43,affordable_with_plan,installments,2024-06-13:12866.19|2024-07-14:12866.19|2024-08-14:12866.19,2024-07-15,stop:event_9268|reduce_to:event_9267:508.20,"Stop the shared storage plan and reduce the streaming subscription to ZAR 508.20, then use 3 installments of ZAR 12,866.19, starting 13 June 2024. This keeps the ZAR 32,500 minimum protected."
request_101,142183.5,affordable_with_plan,full_payment,2025-11-03:143500,2025-11-15,stop:event_9378,"Stop the online backup subscription, then pay INR 143,500 today. This leaves at least INR 187,400 available."
request_102,1716,affordable_with_plan,installments,2026-04-05:594.88|2026-05-05:594.88|2026-06-04:594.88,2026-04-05,none,"Use 3 installments of EUR 594.88, starting 5 April 2026. This leaves at least EUR 900 available."
request_103,8414,not_affordable,not_recommended,none,,none,"Do not make this payment by 7 October 2024. None of the available options keeps the INR 125,500 minimum protected."
request_104,7187.8,affordable_later,wait,2025-04-15:17204,2025-04-15,none,"Pay ZAR 17,204 in full on 15 April 2025. Paying earlier would take the balance below the ZAR 24,700 minimum."
request_105,51436.8,affordable_with_plan,full_payment,2026-06-08:53500,2026-06-15,reduce_to:event_9721:1720|reduce_to:event_9720:1632,"Reduce the monthly entertainment spend to INR 1,720 and reduce the household shopping to INR 1,632, then pay INR 53,500 today. This leaves at least INR 73,900 available."
request_106,363,affordable_later,wait,2025-02-15:2207.70,2025-02-15,none,"Pay EUR 2,207.70 in full on 15 February 2025. Paying earlier would take the balance below the EUR 1,200 minimum."
request_107,2504.52,affordable_with_plan,installments,2025-05-08:878.59|2025-06-05:878.59|2025-07-03:878.59,2025-07-15,stop:event_9894|stop:event_9895|reduce_to:event_9959:42.50,"Stop the audio streaming plan, stop the food delivery membership and reduce the quick-service meal to EUR 42.50, then use 3 installments of EUR 878.59, starting 8 May 2025. This keeps the EUR 1,600 minimum protected."
request_108,1728.2,not_affordable,not_recommended,none,,none,"Do not make this payment by 26 July 2026. None of the available options keeps the ZAR 24,100 minimum protected."
request_109,546.46,affordable_with_plan,installments,2024-03-18:645.98|2024-04-18:645.98|2024-05-19:645.98,2024-05-15,stop:event_10080|stop:event_10081,"Stop the shared storage plan and stop the video streaming plan, then use 3 installments of EUR 645.98, starting 18 March 2024. This keeps the EUR 1,700 minimum protected."
request_110,22352,affordable_with_plan,installments,2025-08-06:7748.69|2025-09-03:7748.69|2025-10-01:7748.69,2025-08-06,none,"Use 3 installments of ZAR 7,748.69, starting 6 August 2025. This leaves at least ZAR 11,200 available."
request_111,16625000,affordable_now,full_payment,2026-04-03:16625000,2026-04-03,none,"Pay IDR 16,625,000 today. This leaves at least IDR 23,022,800 available over the next 90 days."
request_112,271.7,affordable_now,full_payment,2024-06-05:271.70,2024-06-05,none,Pay EUR 271.70 today. This leaves at least EUR 500 available over the next 90 days.
request_113,23850,affordable_later,wait,2026-09-15:36500,2026-09-15,none,"Pay INR 36,500 in full on 15 September 2026. Paying earlier would take the balance below the INR 82,300 minimum."
request_114,62990,affordable_later,wait,2026-01-15:65300,2026-01-15,none,"Wait until 15 January 2026, then pay INR 65,300 in full. This is after the 14 January 2026 target, but paying sooner would put the INR 113,400 minimum at risk."
request_115,11810,affordable_later,wait,2024-11-15:80500,2024-11-15,none,"Pay INR 80,500 in full on 15 November 2024. Paying earlier would take the balance below the INR 38,800 minimum."
request_116,9210,not_affordable,not_recommended,none,,none,"Do not make this payment by 16 April 2025. None of the available options keeps the INR 80,300 minimum protected."
request_117,857.2,affordable_with_plan,full_payment,2026-07-05:880,2026-07-15,reduce_to:event_10833:11|reduce_to:event_10878:20.50,"Reduce the family streaming plan to EUR 11 and reduce the weekend food delivery to EUR 20.50, then pay EUR 880 today. This leaves at least EUR 1,000 available."
request_118,650.51,affordable_with_plan,installments,2024-12-07:255.87|2025-01-07:255.87|2025-02-07:255.87,2025-01-15,reduce_to:event_10912:11,"Reduce the streaming subscription to EUR 11, then use 3 installments of EUR 255.87, starting 7 December 2024. This keeps the EUR 600 minimum protected."
request_119,54671.01,affordable_with_plan,installments,2025-05-18:70546.67|2025-06-15:70546.67|2025-07-13:70546.67,2025-06-15,reduce_to:event_11057:2370,"Reduce the family dinner to INR 2,370, then use 3 installments of INR 70,546.67, starting 18 May 2025. This keeps the INR 151,200 minimum protected."
request_120,7107180,affordable_later,wait,2026-04-15:7714000,2026-04-15,none,"Wait until 15 April 2026, then pay IDR 7,714,000 in full. This is after the 14 April 2026 target, but paying sooner would put the IDR 20,050,300 minimum at risk."
request_121,633.6,affordable_now,full_payment,2024-03-03:633.60,2024-03-03,none,Pay USD 633.60 today. This leaves at least USD 800 available over the next 90 days.
request_122,20558000,affordable_with_plan,installments,2025-08-05:7126773.33|2025-09-02:7126773.33|2025-09-30:7126773.33,2025-08-05,none,"Use 3 installments of IDR 7,126,773.33, starting 5 August 2025. This leaves at least IDR 12,588,500 available."
request_123,4076000,affordable_now,full_payment,2026-01-07:4076000,2026-01-07,none,"Pay IDR 4,076,000 today. This leaves at least IDR 18,091,200 available over the next 90 days."
request_124,1244.56,affordable_with_plan,installments,2024-06-11:1076.12|2024-07-12:1076.12|2024-08-12:1076.12,2024-07-15,stop:event_11448,"Stop the music service subscription, then use 3 installments of EUR 1,076.12, starting 11 June 2024. This keeps the EUR 1,600 minimum protected."
request_125,6334.67,affordable_with_plan,full_payment,2025-11-06:6468,2025-11-15,stop:event_11519|reduce_to:event_11602:223.30,"Stop the cloud storage plan and reduce the family dinner to ZAR 223.30, then pay ZAR 6,468 today. This leaves at least ZAR 11,300 available."
request_126,159600,affordable_now,full_payment,2026-07-03:159600,2026-07-03,none,"Pay INR 159,600 today. This leaves at least INR 129,700 available over the next 90 days."
request_127,10750.8,affordable_later,wait,2024-10-15:23980,2024-10-15,none,"Pay ZAR 23,980 in full on 15 October 2024. Paying earlier would take the balance below the ZAR 41,000 minimum."
request_128,24296.4,affordable_with_plan,full_payment,2025-02-07:25168,2025-02-15,stop:event_11813|reduce_to:event_11812:1058.20,"Stop the cloud storage plan and reduce the cinema and events to ZAR 1,058.20, then pay ZAR 25,168 today. This leaves at least ZAR 42,600 available."
request_129,53,not_affordable,not_recommended,none,,none,Do not make this payment by 18 June 2026. None of the available options keeps the USD 800 minimum protected.
request_130,435.46,affordable_later,wait,2025-01-15:1978.80,2025-01-15,none,"Pay USD 1,978.80 in full on 15 January 2025. Paying earlier would take the balance below the USD 1,400 minimum."
request_131,1178.96,affordable_with_plan,installments,2025-05-06:643.14|2025-06-03:643.14|2025-07-01:643.14,2025-07-23,reduce_to:event_12065:21.20,"Reduce the clothing and household items to USD 21.20, then use 3 installments of USD 643.14, starting 6 May 2025. This keeps the USD 1,100 minimum protected."
request_132,257.55,affordable_later,wait,2026-01-15:379.86,2026-01-15,none,"Pay USD 379.86 in full on 15 January 2026. Paying earlier would take the balance below the USD 1,100 minimum."
request_133,2236800,not_affordable,not_recommended,none,,none,"Do not make this payment by 29 March 2024. None of the available options keeps the IDR 9,986,200 minimum protected."
request_134,4923200,affordable_later,wait,2025-10-15:21831000,2025-10-15,none,"Pay IDR 21,831,000 in full on 15 October 2025. Paying earlier would take the balance below the IDR 15,902,500 minimum."
request_135,283.1,affordable_with_plan,full_payment,2026-07-06:304.80,2026-07-15,reduce_to:event_12413:11.50|reduce_to:event_12458:17.50,"Reduce the video streaming plan to USD 11.50 and reduce the lunch with colleagues to USD 17.50, then pay USD 304.80 today. This leaves at least USD 500 available."
request_136,528.68,affordable_with_plan,full_payment,2024-06-03:560.40,2024-06-15,reduce_to:event_12498:27.20,"Reduce the household shopping to USD 27.20, then pay USD 560.40 today. This leaves at least USD 1,100 available."
request_137,23033,affordable_later,wait,2026-01-15:80100,2026-01-15,none,"Pay INR 80,100 in full on 15 January 2026. Paying earlier would take the balance below the INR 71,800 minimum."
request_138,729.65,affordable_with_plan,partial_payment,2026-04-07:729.65|2026-04-15:527.29,2026-04-15,none,"Pay EUR 729.65 today and the remaining EUR 527.29 on 15 April 2026. This completes the full request and keeps the EUR 2,300 minimum protected."
request_139,1369.84,not_affordable,not_recommended,none,2024-11-15,none,"Do not make this payment by 17 November 2024. None of the available options keeps the USD 1,500 minimum protected."
request_140,1571.2,not_affordable,not_recommended,none,,none,"Do not make this payment by 4 March 2025. None of the available options keeps the ZAR 21,600 minimum protected."
request_141,21660,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 171,600 request. Although INR 21,660 is available today, the full amount cannot be completed safely within 90 days."
request_142,1263.6,affordable_now,full_payment,2024-12-05:1263.60,2024-12-05,none,"Pay USD 1,263.60 today. This leaves at least USD 1,700 available over the next 90 days."
request_143,3065,affordable_later,wait,2025-07-15:12584,2025-07-15,none,"Pay ZAR 12,584 in full on 15 July 2025. Paying earlier would take the balance below the ZAR 11,300 minimum."
request_144,233.34,affordable_now,full_payment,2026-07-04:233.34,2026-07-04,none,Pay USD 233.34 today. This leaves at least USD 600 available over the next 90 days.
request_145,27478.66,affordable_with_plan,installments,2024-03-20:75365.33|2024-04-20:75365.33|2024-05-21:75365.33,2024-05-15,stop:event_13342|reduce_to:event_13341:2920|reduce_to:event_13409:3335,"Stop the cloud storage plan, reduce the video streaming plan to INR 2,920 and reduce the takeaway order to INR 3,335, then use 3 installments of INR 75,365.33, starting 20 March 2024. This keeps the INR 155,400 minimum protected."
request_146,8840,not_affordable,not_recommended,none,,none,"Do not make this payment by 17 October 2025. None of the available options keeps the INR 108,600 minimum protected."
request_147,386.53,affordable_with_plan,installments,2026-04-08:391.63|2026-05-08:391.63|2026-06-07:391.63,2026-05-15,stop:event_13520,"Stop the online backup subscription, then use 3 installments of EUR 391.63, starting 8 April 2026. This keeps the EUR 900 minimum protected."
request_148,7134.08,affordable_with_plan,installments,2024-06-14:7710.56|2024-07-15:7710.56|2024-08-15:7710.56,2024-08-15,stop:event_13591|stop:event_13592,"Stop the audio streaming plan and stop the food delivery membership, then use 3 installments of ZAR 7,710.56, starting 14 June 2024. This keeps the ZAR 20,000 minimum protected."
request_149,22279.88,affordable_with_plan,installments,2025-11-18:12706.03|2025-12-16:12706.03|2026-01-13:12706.03,2025-12-15,none,"Use 3 installments of ZAR 12,706.03, starting 18 November 2025. This leaves at least ZAR 42,100 available."
request_150,309.44,affordable_with_plan,installments,2026-01-06:171.98|2026-02-05:171.98|2026-03-07:171.98,2026-03-15,stop:event_13785|reduce_to:event_13786:12.50|reduce_to:event_13787:16,"Stop the online backup subscription, reduce the family streaming plan to EUR 12.50 and reduce the online retail purchases to EUR 16, then use 3 installments of EUR 171.98, starting 6 January 2026. This keeps the EUR 700 minimum protected."
request_151,26602315,affordable_with_plan,full_payment,2024-09-03:26999000,2024-09-15,reduce_to:event_13923:633650,"Reduce the coffee shop to IDR 633,650, then pay IDR 26,999,000 today. This leaves at least IDR 31,633,600 available."
request_152,11080.07,affordable_with_plan,installments,2025-02-12:4812.43|2025-03-12:4812.43|2025-04-09:4812.43,2025-04-15,stop:event_13957|stop:event_13958|reduce_to:event_14024:234.30,"Stop the music subscription, stop the food delivery membership and reduce the coffee shop to ZAR 234.30, then use 3 installments of ZAR 4,812.43, starting 12 February 2025. This keeps the ZAR 11,900 minimum protected."
request_153,83.6,not_affordable,not_recommended,none,,none,"Do not make this payment by 24 September 2026. None of the available options keeps the USD 1,400 minimum protected."
request_154,1625.8,affordable_with_plan,installments,2024-12-04:563.61|2025-01-04:563.61|2025-02-04:563.61,2024-12-04,none,"Use 3 installments of EUR 563.61, starting 4 December 2024. This leaves at least EUR 1,300 available."
request_155,112500,affordable_now,full_payment,2025-05-06:112500,2025-05-06,none,"Pay INR 112,500 today. This leaves at least INR 56,300 available over the next 90 days."
request_156,7997.2,affordable_later,wait,2026-06-15:43076,2026-06-15,none,"Pay ZAR 43,076 in full on 15 June 2026. Paying earlier would take the balance below the ZAR 26,900 minimum."
request_157,4777200,affordable_later,wait,2024-04-15:23503000,2024-04-15,none,"Pay IDR 23,503,000 in full on 15 April 2024. Paying earlier would take the balance below the IDR 15,714,100 minimum."
request_158,242600,affordable_with_plan,installments,2025-08-07:84101.33|2025-09-04:84101.33|2025-10-02:84101.33,2025-08-07,none,"Use 3 installments of INR 84,101.33, starting 7 August 2025. This leaves at least INR 131,400 available."
request_159,2085.6,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 13,398 request. Although ZAR 2,085.60 is available today, the full amount cannot be completed safely within 90 days."
request_160,468.61,affordable_with_plan,installments,2024-06-13:432.05|2024-07-14:432.05|2024-08-14:432.05,2024-07-15,none,"Use 3 installments of EUR 432.05, starting 13 June 2024. This leaves at least EUR 1,200 available."
request_161,6984100,affordable_later,wait,2026-01-15:21204000,2026-01-15,none,"Pay IDR 21,204,000 in full on 15 January 2026. Paying earlier would take the balance below the IDR 23,010,400 minimum."
request_162,1264900,not_affordable,not_recommended,none,,none,"Do not make this payment by 26 August 2026. None of the available options keeps the IDR 24,161,100 minimum protected."
request_163,10074724.26,affordable_with_plan,installments,2024-09-10:6692053.33|2024-10-11:6692053.33|2024-11-11:6692053.33,2024-10-15,none,"Use 3 installments of IDR 6,692,053.33, starting 10 September 2024. This leaves at least IDR 26,728,700 available."
request_164,27018000,affordable_with_plan,installments,2025-02-11:9366240|2025-03-11:9366240|2025-04-08:9366240,2025-02-04,none,"Use 3 installments of IDR 9,366,240, starting 11 February 2025. This leaves at least IDR 29,550,500 available."
request_165,80600,affordable_now,full_payment,2026-04-06:80600,2026-04-06,none,"Pay INR 80,600 today. This leaves at least INR 95,000 available over the next 90 days."
request_166,2907.6,affordable_with_plan,installments,2024-12-03:1007.97|2025-01-03:1007.97|2025-02-03:1007.97,2024-12-03,none,"Use 3 installments of USD 1,007.97, starting 3 December 2024. This leaves at least USD 1,700 available."
request_167,43802,affordable_now,full_payment,2025-05-05:43802,2025-05-05,none,"Pay ZAR 43,802 today. This leaves at least ZAR 31,200 available over the next 90 days."
request_168,30213,affordable_with_plan,partial_payment,2026-01-07:30213|2026-02-15:19167,2026-02-15,none,"Pay INR 30,213 today and the remaining INR 19,167 on 15 February 2026. This completes the full request and keeps the INR 114,400 minimum protected."
request_169,41976,affordable_now,full_payment,2024-03-04:41976,2024-03-04,none,"Pay ZAR 41,976 today. This leaves at least ZAR 18,700 available over the next 90 days."
